Totalsales;Travel To
395,71;FIUMICINO
733,88;PARIGI
132,08;FIUMICINO
132,08;FIUMICINO
132,08;FIUMICINO
137,58;FIUMICINO
210,16;BRINDISI
256,75;BUDAPEST
132,08;CAGLIARI
132,08;CAGLIARI
57,12;FIUMICINO
869,18;MOMBASA
1629,19;CAGLIARI
638;FIUMICINO
681,1;MOMBASA
797,36;KUALA LUMPUR
59,87;FIUMICINO
60;FIUMICINO
869,18;MOMBASA
60;CAGLIARI
97,71;CAGLIARI
693,86;CAYENNE
137,58;FIUMICINO
817,34;FIUMICINO
60;CAGLIARI
74,96;CAGLIARI
137,58;FIUMICINO
1121,58;FIUMICINO
90,88;VENEZIA
207,81;GENOVA
702;CATANIA
